quickSort10,bubbleSort10,insertionSort10,selectionSort10,mergeSort10
0,276366,338443,210774,0,
500000,193850,322677,284634,500000,
499800,221852,360358,272310,0,
0,249656,364088,235512,0,
500000,176546,315070,169972,0,
42692,277914,339257,223336,280382,
500000,500000,500000,476900,0,
500000,175272,334287,93862,0,
0,241500,260814,276500,0,
0,184382,500000,475464,500000,
500000,481950,1596,182168,0,
248114,220070,366894,178186,0,
9886,318736,528767,237180,370078,
0,207388,341413,223746,500000,
0,217962,294340,217196,0,
0,282768,396591,229420,0,
0,204828,304210,238506,0,
0,330774,355948,177026,0,
0,202444,270698,172528,397258,
500000,230966,347068,223204,0,
500000,253602,313215,209992,500000,
0,0,429413,490478,0,
0,357858,369792,296184,0,
0,211344,291602,0,0,
0,0,5356,267840,323708,
338596,234724,351119,204376,262040,
0,211468,327144,205362,0,
500000,434784,359652,333744,0,
0,210296,320805,226630,352384,
499758,179334,289586,240672,500000,
0,263506,334162,176612,287608,
0,194522,305212,338938,0,
0,247922,295632,197602,500000,
500000,197274,330969,467544,0,
0,184984,298068,277840,0,
500000,179574,316451,240954,0,
0,214338,354173,384922,0,
0,103968,500000,52542,0,
0,264264,398814,68056,0,
0,175828,260049,257878,109460,
0,271380,319059,186084,0,
500000,217060,410365,0,0,
0,0,312445,0,0,
0,0,2485,138302,381088,
0,194920,284914,249868,500000,
0,222234,316216,269526,0,
487518,202834,303468,205468,0,
257398,424728,33756,500000,0,
0,82176,328075,245090,0,
500000,128706,141246,0,0,
0,90866,281220,292298,500000,
125332,215886,345917,209072,424798,
0,169608,362198,240162,500000,
497112,233866,353226,212878,500000,
0,200770,309799,209286,369486,
0,298944,436651,0,0,
0,0,703,57122,500000,
500000,468750,274705,236058,500000,
358620,198784,325482,224254,0,
500000,257410,278004,157744,0,
178520,290930,500000,309746,0,
0,158350,306985,112192,0,
0,287436,334987,186704,500000,
178110,292012,317095,177548,0,
0,210060,305824,250576,397116,
175018,277906,362483,273982,0,
250236,252390,346064,264900,0,
0,213468,332390,216952,500000,
0,263200,363625,265062,0,
500000,276230,285214,242686,0,
500000,216686,331138,233210,500000,
498542,260064,329794,173790,0,
0,280112,317449,243060,0,
493038,286964,361029,186332,500000,
499662,195674,342927,254324,0,
0,272322,401546,17504,0,
0,124510,309248,189406,0,
500000,449904,8515,0,0,
0,138732,331161,266394,436840,
0,193032,343095,226004,0,
345054,219476,302489,269682,98594,
500000,164570,294149,215256,396134,
0,269708,306633,238586,0,
quickSort40,bubbleSort40,insertionSort40,selectionSort40,mergeSort40
0,196814,285425,218876,0,
500000,236836,316872,271662,0,
500000,316712,377110,302334,500000,
0,0,4753,0,0,
0,0,430310,500000,500000,
500000,377482,247972,302416,500000,
500000,500000,6,70688,500000,
500000,368928,359935,483206,500000,
0,320996,324249,281262,0,
0,268564,272594,344270,170926,
0,323320,332072,313294,0,
0,319196,340000,240216,0,
0,301268,1,302890,330136,
0,243756,111225,0,0,
0,134430,324584,371336,500000,
0,105146,302948,304872,0,
500000,273600,352356,263054,500000,
0,189446,364156,253420,500000,
0,252712,457253,340668,500000,
0,327034,335616,335344,0,
500000,207598,353053,299376,500000,
416768,307946,361854,243086,0,
0,280656,326778,284912,0,
830,333790,396576,257310,0,
500000,264094,318980,284138,0,
0,291768,339019,365364,0,
0,288858,312331,258010,395970,
294198,348760,362627,204092,0,
0,352506,399306,304168,0,
0,261344,363958,244614,339494,
0,301742,445830,253148,0,
500000,459722,201423,302140,500000,
0,250628,500000,192832,500000,
500000,500000,269620,0,0,
0,0,419180,215588,105986,
448500,275822,321755,320404,297426,
0,325238,317772,249186,500000,
0,299988,328230,214020,500000,
0,327622,311384,321992,500000,
0,312960,317098,359814,162260,
0,237692,310074,319544,0,
0,311728,313420,330332,0,
12566,279898,347166,293244,152904,
0,262250,324781,215444,500000,
0,328196,326034,170604,0,
0,456968,500000,486878,0,
0,0,122760,0,0,
0,0,232903,0,0,
0,330330,10878,453152,0,
0,0,17766,177012,500000,
500000,158862,5253,0,0,
0,0,10585,48062,0,
0,293250,304924,268972,500000,
0,252580,335340,274830,500000,
484988,273702,340782,291828,265260,
0,272838,320272,143018,0,
0,0,59837,316488,0,
149176,333348,318819,266430,500000,
0,212020,280949,305580,500000,
0,318598,338261,278562,0,
500000,261704,325237,333026,500000,
313810,295866,347341,261182,500000,
0,221484,500000,230622,0,
500000,470060,333538,268254,500000,
0,316274,369661,290200,500000,
500000,313784,322970,274582,500000,
0,225448,361324,287618,0,
0,332402,311249,273062,0,
500000,306778,316725,242028,284436,
500000,243794,279610,282430,0,
500000,277206,306532,41412,0,
0,0,352677,339532,0,
500000,276416,298720,9950,0,
0,0,153,0,0,
0,0,325,190232,0,
0,202884,500000,500000,500000,
500000,307850,383370,55112,500000,
500000,500000,292289,500000,500000,
500000,480398,355676,500000,500000,
500000,500000,337230,0,0,
0,157428,306556,260458,500000,
0,271472,303470,368642,365972,
411226,316102,344472,233690,500000,
0,255656,318170,232860,0,
431522,276190,315136,328436,500000,
0,252474,310607,274984,500000,
0,221314,84255,61428,370670,
13776,272942,395162,87768,0,
0,218040,293757,307994,0,
500000,320948,254547,199174,0,
0,293714,221450,265294,500000,
0,243614,340964,309936,500000,
500000,293476,302032,286912,268158,
1192,259106,309540,245000,0,
0,79264,294370,283534,0,
75610,334732,323164,227370,500000,
28386,294438,274268,314570,0,
0,240452,351474,319212,0,
908,354514,323698,261444,0,
29416,345774,500000,460892,500000,
quickSort50,bubbleSort50,insertionSort50,selectionSort50,mergeSort50
360608,312554,289632,342836,483272,
0,331994,321802,301452,500000,
500000,466200,173263,500000,500000,
500000,208152,55,0,0,
288826,385758,36315,0,0,
0,19404,500000,500000,0,
0,164164,479604,112338,500000,
500000,388608,259775,497952,500000,
500000,449824,296578,321340,0,
0,335212,370733,309018,0,
500000,345012,324092,342062,342498,
334112,333804,329783,286680,0,
500000,326102,374919,340848,302074,
0,330592,334285,321016,0,
500000,328004,311766,417830,0,
0,330320,310374,341338,0,
335162,365456,344123,343272,0,
0,336198,381790,359296,0,
0,246402,419566,131928,0,
0,155282,375036,319752,500000,
0,343650,316863,345882,500000,
0,323714,363611,337592,384048,
0,313854,318040,318706,0,
500000,351916,386757,335750,311420,
500000,321642,388803,356956,0,
82710,361506,367737,351356,500000,
170630,327122,319662,192142,500000,
500000,486834,317586,489122,500000,
0,333338,298848,400202,500000,
500000,436632,277209,496396,500000,
0,335456,320185,345938,385312,
0,341468,339797,325076,500000,
0,352552,312910,329712,0,
390684,350990,323952,342470,500000,
0,333222,333118,328938,0,
500000,331558,310284,334276,500000,
500000,356546,303134,343558,367636,
448800,329240,339484,349412,500000,
53192,362326,322655,346468,363276,
153978,340200,360792,341352,399476,
426272,352498,403847,224220,0,
0,133812,355698,352606,500000,
0,323348,500000,500000,500000,
500000,500000,500000,500000,500000,
500000,463842,296046,338578,500000,
0,179122,6,292612,0,
0,0,5253,0,0,
0,251022,500000,409432,0,
0,0,3741,0,0,
0,12640,500000,429238,0,
107398,313760,312240,322856,327524,
500000,311182,341924,299474,500000,
0,367896,296811,335652,424868,
16274,347138,343446,352666,0,
0,269812,299446,320790,0,
500000,337184,311164,381970,0,
500000,315622,332227,331590,0,
500000,372316,361734,323156,0,
470046,329346,314309,275124,0,
0,339396,360040,355808,500000,
0,313598,306422,306482,0,
500000,333982,308354,340270,0,
500000,338942,330920,297542,500000,
500000,343568,312468,277132,0,
500000,298378,357014,309178,326402,
500000,303140,353673,348496,0,
500000,296132,352749,318534,96404,
272342,354730,357380,340354,500000,
18066,351774,326351,349832,268834,
500000,299988,324495,369004,0,
500000,314124,333675,316642,388326,
497032,314396,306664,323090,359350,
0,344438,329200,309070,500000,
500000,320984,332532,330294,500000,
500000,313832,357964,335098,0,
500000,331120,301623,339864,0,
500000,292806,318192,347410,500000,
0,360460,301492,337956,0,
500000,323314,381934,341064,0,
500000,316254,392997,333558,0,
500000,324238,409947,330442,0,
21920,369796,294118,331442,500000,
476238,306976,311521,337240,500000,
0,242402,500000,343780,389770,
0,55158,301386,492312,0,
447676,357948,312204,341160,500000,
500000,500000,500000,500000,500000,
500000,451704,399814,338776,500000,
9880,319100,330548,346004,500000,
98722,335740,352244,356798,0,
500000,318988,287360,339994,0,
500000,352996,381942,360220,0,
500000,346316,354524,316934,0,
47050,332294,404312,309088,0,
500000,351944,322391,295216,0,
387230,307032,377385,330478,500000,
0,310170,319703,343446,281226,
500000,329202,307710,312628,0,
500000,327726,322220,329994,356110,
0,300480,438966,45264,0,
